date,total_doses,daily_change,state,positive,neutral,negative
5/09/2021,5279160,0,VIC,NA,NA,NA
4/09/2021,5279160,79351,VIC,NA,NA,NA
3/09/2021,5199809,78632,VIC,NA,NA,NA
2/09/2021,5121177,81683,VIC,NA,NA,NA
1/09/2021,5039494,105018,VIC,NA,NA,NA
31/08/2021,4934476,41690,VIC,NA,NA,NA
30/08/2021,4892786,40498,VIC,NA,NA,NA
29/08/2021,4852288,85806,VIC,0.575714286,0.042857143,0.381428571
28/08/2021,4766482,73938,VIC,NA,NA,NA
27/08/2021,4692544,50982,VIC,NA,NA,NA
26/08/2021,4641562,79319,VIC,NA,NA,NA
25/08/2021,4562243,74099,VIC,0.71,0.056666667,0.233333333
24/08/2021,4488144,67982,VIC,NA,NA,NA
23/08/2021,4420162,35134,VIC,0.4625,0.0475,0.49
22/08/2021,4385028,49457,VIC,0.548333333,0.101666667,0.35
21/08/2021,4335571,70698,VIC,0.33,0.035,0.635
20/08/2021,4264873,70648,VIC,NA,NA,NA
19/08/2021,4194225,68734,VIC,0.4525,0.0525,0.495
18/08/2021,4125491,63740,VIC,0.53,0.0625,0.4075
17/08/2021,4061751,79810,VIC,0.2,0.06,0.74
16/08/2021,3981941,0,VIC,0.3025,0.0425,0.655
15/08/2021,4012922,42848,VIC,0.435,0.0425,0.5225
14/08/2021,3970074,65193,VIC,0.51,0.096666667,0.393333333
13/08/2021,3904881,64266,VIC,0.7275,0.05,0.2225
12/08/2021,3840615,61606,VIC,0.56,0.0325,0.4075
11/08/2021,3779009,55469,VIC,0.4675,0.06375,0.46875
11/08/2021,3779009,55469,VIC,0.4675,0.06375,0.46875
10/08/2021,3723540,57536,VIC,0.43,0.265,0.305
9/08/2021,3666004,25225,VIC,0.435,0.045,0.52
8/08/2021,3640779,32443,VIC,0.6625,0.055,0.2825
7/08/2021,3608336,50115,VIC,0.525,0.065,0.41
6/08/2021,3558221,48738,VIC,NA,NA,NA
5/08/2021,3509483,45939,VIC,0.5375,0.0575,0.405
4/08/2021,3463544,41767,VIC,0.52,0.046666667,0.433333333
3/08/2021,3421777,45236,VIC,0.35,0.0275,0.6225
2/08/2021,3376541,19507,VIC,NA,NA,NA
1/08/2021,3357034,28288,VIC,NA,NA,NA
31/07/2021,3328746,45280,VIC,NA,NA,NA
30/07/2021,3283466,45938,VIC,NA,NA,NA
29/07/2021,3237528,43603,VIC,NA,NA,NA
28/07/2021,3193925,43123,VIC,NA,NA,NA
27/07/2021,3150802,48341,VIC,NA,NA,NA
26/07/2021,3102461,21528,VIC,NA,NA,NA
25/07/2021,3080933,28442,VIC,NA,NA,NA
24/07/2021,3052491,44179,VIC,NA,NA,NA
23/07/2021,3008312,47503,VIC,NA,NA,NA
22/07/2021,2960809,46459,VIC,NA,NA,NA
21/07/2021,2914350,37251,VIC,NA,NA,NA
20/07/2021,2877099,45529,VIC,NA,NA,NA
19/07/2021,2831570,16744,VIC,NA,NA,NA
18/07/2021,2814826,24857,VIC,NA,NA,NA
17/07/2021,2789969,39228,VIC,NA,NA,NA
16/07/2021,2750741,37590,VIC,NA,NA,NA
15/07/2021,2713151,35575,VIC,NA,NA,NA
14/07/2021,2677576,32415,VIC,NA,NA,NA
13/07/2021,2645161,40041,VIC,NA,NA,NA
12/07/2021,2605120,14792,VIC,NA,NA,NA
11/07/2021,2590328,20188,VIC,NA,NA,NA
10/07/2021,2570140,31914,VIC,NA,NA,NA
9/07/2021,2538226,34287,VIC,NA,NA,NA
8/07/2021,2503939,24104,VIC,NA,NA,NA
7/07/2021,2479835,44194,VIC,NA,NA,NA
6/07/2021,2435641,41403,VIC,NA,NA,NA
5/07/2021,2394238,14443,VIC,NA,NA,NA
4/07/2021,2379795,19384,VIC,NA,NA,NA
3/07/2021,2360411,36854,VIC,NA,NA,NA
2/07/2021,2323557,37463,VIC,NA,NA,NA
1/07/2021,2286094,38628,VIC,NA,NA,NA
30/06/2021,2247466,35102,VIC,NA,NA,NA
29/06/2021,2212364,39490,VIC,NA,NA,NA
28/06/2021,2172874,14727,VIC,NA,NA,NA
27/06/2021,2158147,17679,VIC,NA,NA,NA
26/06/2021,2140468,33734,VIC,NA,NA,NA
25/06/2021,2106734,35730,VIC,NA,NA,NA
24/06/2021,2071004,38301,VIC,NA,NA,NA
23/06/2021,2032703,41061,VIC,NA,NA,NA
22/06/2021,1991642,36498,VIC,NA,NA,NA
21/06/2021,1955144,12577,VIC,NA,NA,NA
20/06/2021,1942567,18382,VIC,NA,NA,NA
19/06/2021,1924185,36662,VIC,NA,NA,NA
18/06/2021,1887523,40118,VIC,NA,NA,NA
17/06/2021,1847405,40463,VIC,NA,NA,NA
16/06/2021,1806942,51093,VIC,NA,NA,NA
15/06/2021,1755849,10602,VIC,NA,NA,NA
14/06/2021,1745247,17435,VIC,NA,NA,NA
13/06/2021,1727812,23222,VIC,NA,NA,NA
12/06/2021,1704590,43882,VIC,NA,NA,NA
11/06/2021,1660708,50637,VIC,NA,NA,NA
10/06/2021,1610071,51347,VIC,NA,NA,NA
9/06/2021,1558724,47260,VIC,NA,NA,NA
8/06/2021,1511464,49267,VIC,NA,NA,NA
7/06/2021,1462197,42581,VIC,NA,NA,NA
6/06/2021,1419616,42365,VIC,NA,NA,NA
5/06/2021,1377251,52102,VIC,NA,NA,NA
4/06/2021,1325149,48215,VIC,NA,NA,NA
3/06/2021,1276934,50710,VIC,NA,NA,NA
2/06/2021,1226224,51176,VIC,NA,NA,NA
1/06/2021,1175048,40389,VIC,NA,NA,NA
31/05/2021,1134659,20909,VIC,NA,NA,NA
30/05/2021,1113750,27448,VIC,NA,NA,NA
29/05/2021,1086302,43458,VIC,NA,NA,NA
28/05/2021,1042844,41389,VIC,NA,NA,NA
27/05/2021,1001455,30426,VIC,NA,NA,NA
26/05/2021,971029,30498,VIC,NA,NA,NA
25/05/2021,940531,11424,VIC,NA,NA,NA
24/05/2021,929107,4964,VIC,NA,NA,NA
23/05/2021,924143,9175,VIC,NA,NA,NA
22/05/2021,914968,21741,VIC,NA,NA,NA
21/05/2021,893227,26553,VIC,NA,NA,NA
20/05/2021,866674,24961,VIC,NA,NA,NA
19/05/2021,841713,25162,VIC,NA,NA,NA
18/05/2021,816551,24217,VIC,NA,NA,NA
17/05/2021,792334,4370,VIC,NA,NA,NA
16/05/2021,787964,7667,VIC,NA,NA,NA
15/05/2021,780297,19954,VIC,NA,NA,NA
14/05/2021,760343,21895,VIC,NA,NA,NA
13/05/2021,738448,23393,VIC,NA,NA,NA
12/05/2021,715055,19769,VIC,NA,NA,NA
11/05/2021,695286,22044,VIC,NA,NA,NA
10/05/2021,673242,3213,VIC,NA,NA,NA
9/05/2021,670029,7956,VIC,NA,NA,NA
8/05/2021,662073,18528,VIC,NA,NA,NA
7/05/2021,643545,24564,VIC,NA,NA,NA
6/05/2021,618981,22537,VIC,NA,NA,NA
5/05/2021,596444,23867,VIC,NA,NA,NA
4/05/2021,572577,19155,VIC,NA,NA,NA
3/05/2021,553422,2281,VIC,NA,NA,NA
2/05/2021,551141,4964,VIC,NA,NA,NA
1/05/2021,546177,12503,VIC,NA,NA,NA
30/04/2021,533674,16805,VIC,NA,NA,NA
29/04/2021,516869,20489,VIC,NA,NA,NA
28/04/2021,496380,17195,VIC,NA,NA,NA
27/04/2021,479185,11854,VIC,NA,NA,NA
26/04/2021,467331,1109,VIC,NA,NA,NA
25/04/2021,466222,6376,VIC,NA,NA,NA
24/04/2021,459846,13395,VIC,NA,NA,NA
23/04/2021,446451,19185,VIC,NA,NA,NA
22/04/2021,427266,16937,VIC,NA,NA,NA
21/04/2021,410329,15074,VIC,NA,NA,NA
20/04/2021,395255,16705,VIC,NA,NA,NA
19/04/2021,378550,18777,VIC,NA,NA,NA
18/04/2021,359773,5283,VIC,NA,NA,NA
17/04/2021,354490,13009,VIC,NA,NA,NA
16/04/2021,341481,14182,VIC,NA,NA,NA
15/04/2021,327299,14581,VIC,NA,NA,NA
14/04/2021,312718,14382,VIC,NA,NA,NA
13/04/2021,298336,13094,VIC,NA,NA,NA
12/04/2021,285242,3528,VIC,NA,NA,NA
11/04/2021,281714,7408,VIC,NA,NA,NA
10/04/2021,274306,13256,VIC,NA,NA,NA
9/04/2021,261050,131513,VIC,NA,NA,NA
8/04/2021,129537,5778,VIC,NA,NA,NA
7/04/2021,123759,6059,VIC,NA,NA,NA
6/04/2021,117700,1023,VIC,NA,NA,NA
5/04/2021,116677,443,VIC,NA,NA,NA
4/04/2021,116234,247,VIC,NA,NA,NA
3/04/2021,115987,910,VIC,NA,NA,NA
2/04/2021,115077,7555,VIC,NA,NA,NA
1/04/2021,107522,8457,VIC,NA,NA,NA
31/03/2021,99065,6300,VIC,NA,NA,NA
30/03/2021,92765,6483,VIC,NA,NA,NA
29/03/2021,86282,2072,VIC,NA,NA,NA
28/03/2021,84210,3512,VIC,NA,NA,NA
27/03/2021,80698,5072,VIC,NA,NA,NA
26/03/2021,75626,6034,VIC,NA,NA,NA
25/03/2021,69592,5698,VIC,NA,NA,NA
24/03/2021,63894,4385,VIC,NA,NA,NA
23/03/2021,59509,4486,VIC,NA,NA,NA
22/03/2021,55023,1342,VIC,NA,NA,NA
21/03/2021,53681,1398,VIC,NA,NA,NA
20/03/2021,52283,4552,VIC,NA,NA,NA
19/03/2021,47731,4742,VIC,NA,NA,NA
18/03/2021,42989,4041,VIC,NA,NA,NA
17/03/2021,38948,3666,VIC,NA,NA,NA
16/03/2021,35282,3474,VIC,NA,NA,NA
15/03/2021,31808,606,VIC,NA,NA,NA
14/03/2021,31202,904,VIC,NA,NA,NA
13/03/2021,30298,4350,VIC,NA,NA,NA
12/03/2021,25948,3631,VIC,NA,NA,NA
11/03/2021,22317,3992,VIC,NA,NA,NA
10/03/2021,18325,2831,VIC,NA,NA,NA
9/03/2021,15494,1072,VIC,NA,NA,NA
8/03/2021,14422,844,VIC,NA,NA,NA
7/03/2021,13578,727,VIC,NA,NA,NA
6/03/2021,12851,1944,VIC,NA,NA,NA
5/03/2021,10907,2262,VIC,NA,NA,NA
4/03/2021,8645,1969,VIC,NA,NA,NA
3/03/2021,6676,1656,VIC,NA,NA,NA
2/03/2021,5020,1158,VIC,NA,NA,NA
1/03/2021,3862,100,VIC,NA,NA,NA
28/02/2021,3762,149,VIC,NA,NA,NA
27/02/2021,3613,711,VIC,NA,NA,NA
26/02/2021,2902,839,VIC,NA,NA,NA
25/02/2021,2063,808,VIC,NA,NA,NA
24/02/2021,1255,675,VIC,NA,NA,NA
23/02/2021,580,580,VIC,NA,NA,NA
22/02/2021,0,0,VIC,NA,NA,NA
21/02/2021,0,0,VIC,NA,NA,NA
20/02/2021,0,0,VIC,NA,NA,NA
19/02/2021,0,0,VIC,NA,NA,NA
18/02/2021,0,0,VIC,NA,NA,NA
17/02/2021,0,0,VIC,NA,NA,NA
16/02/2021,0,0,VIC,NA,NA,NA
15/02/2021,0,0,VIC,NA,NA,NA
5/09/2021,7374708,0,NSW,NA,NA,NA
4/09/2021,7374708,129258,NSW,NA,NA,NA
3/09/2021,7245450,114726,NSW,NA,NA,NA
2/09/2021,7130724,139914,NSW,NA,NA,NA
1/09/2021,6990810,121170,NSW,NA,NA,NA
31/08/2021,6869640,148297,NSW,NA,NA,NA
30/08/2021,6721343,71944,NSW,NA,NA,NA
29/08/2021,6649399,68410,NSW,NA,NA,NA
28/08/2021,6580989,138694,NSW,NA,NA,NA
27/08/2021,6442295,138460,NSW,NA,NA,NA
26/08/2021,6303835,142977,NSW,NA,NA,NA
25/08/2021,6160858,130784,NSW,NA,NA,NA
24/08/2021,6030074,124645,NSW,NA,NA,NA
23/08/2021,5905429,59766,NSW,NA,NA,NA
22/08/2021,5845663,79383,NSW,0.282,0.026,0.692
21/08/2021,5766280,127264,NSW,0.32,0.07,0.61
20/08/2021,5639016,120581,NSW,0.32,0.043076923,0.636923077
19/08/2021,5518435,132439,NSW,0.3075,0.038333333,0.654166667
18/08/2021,5385996,109550,NSW,0.285555556,0.04,0.674444444
17/08/2021,5276446,106122,NSW,0.295833333,0.034166667,0.67
16/08/2021,5170324,119652,NSW,0.366363636,0.040909091,0.592727273
15/08/2021,5050672,65634,NSW,0.388888889,0.027777778,0.583333333
14/08/2021,4985038,105595,NSW,0.320909091,0.037272727,0.641818182
13/08/2021,4879443,106331,NSW,0.286923077,0.031538462,0.681538462
12/08/2021,4773112,105064,NSW,0.252307692,0.033846154,0.713846154
11/08/2021,4668048,106592,NSW,0.473636364,0.042727273,0.483636364
10/08/2021,4561456,98244,NSW,0.368181818,0.042727273,0.589090909
9/08/2021,4463212,25483,NSW,0.51375,0.0325,0.45375
8/08/2021,4437729,58317,NSW,0.474285714,0.058571429,0.467142857
7/08/2021,4379412,89499,NSW,0.207,0.027,0.766
6/08/2021,4289913,93626,NSW,0.324,0.046,0.63
5/08/2021,4196287,83620,NSW,0.360909091,0.047272727,0.591818182
4/08/2021,4112667,84545,NSW,0.278181818,0.040909091,0.680909091
3/08/2021,4028122,84623,NSW,0.361,0.039,0.6
2/08/2021,3943499,25888,NSW,0.35,0.03,0.62
1/08/2021,3917611,45831,NSW,0.342,0.031,0.627
31/07/2021,3871780,82220,NSW,0.153333333,0.03,0.816666667
30/07/2021,3789560,83637,NSW,0.267,0.034,0.699
29/07/2021,3705923,79319,NSW,0.265454545,0.035454545,0.699090909
28/07/2021,3626604,76927,NSW,0.385384615,0.026923077,0.587692308
27/07/2021,3549677,71396,NSW,0.3375,0.025,0.6375
26/07/2021,3478281,23449,NSW,0.414,0.028,0.558
25/07/2021,3454832,40700,NSW,0.353333333,0.022222222,0.624444444
24/07/2021,3414132,70192,NSW,0.2275,0.03375,0.73875
23/07/2021,3343940,75652,NSW,0.217142857,0.031428571,0.751428571
22/07/2021,3268288,64905,NSW,0.34875,0.0375,0.61375
21/07/2021,3203383,66851,NSW,0.38,0.038333333,0.581666667
20/07/2021,3136532,65041,NSW,0.300769231,0.039230769,0.66
19/07/2021,3071491,20464,NSW,0.331818182,0.039090909,0.629090909
18/07/2021,3051027,36573,NSW,0.315,0.035,0.65
17/07/2021,3014454,62644,NSW,0.365,0.036,0.599
16/07/2021,2951810,66701,NSW,0.306,0.03,0.664
15/07/2021,2885109,58508,NSW,0.309090909,0.046363636,0.644545455
14/07/2021,2826601,63455,NSW,0.377692308,0.049230769,0.573076923
13/07/2021,2763146,54998,NSW,0.225,0.045,0.73
12/07/2021,2708148,15925,NSW,0.28,0.041818182,0.678181818
11/07/2021,2692223,29063,NSW,0.325,0.04,0.635
10/07/2021,2663160,51003,NSW,0.3225,0.03875,0.63875
9/07/2021,2612157,55953,NSW,0.304545455,0.040909091,0.654545455
8/07/2021,2556204,50650,NSW,0.342727273,0.04,0.617272727
7/07/2021,2505554,51994,NSW,0.342727273,0.04,0.617272727
6/07/2021,2453560,47708,NSW,0.325,0.04,0.635
5/07/2021,2405852,17447,NSW,0.377777778,0.028888889,0.593333333
4/07/2021,2388405,26294,NSW,0.376666667,0.041666667,0.581666667
3/07/2021,2362111,49483,NSW,0.31625,0.03375,0.65
2/07/2021,2312628,52885,NSW,0.28,0.061666667,0.658333333
1/07/2021,2259743,48463,NSW,0.25,0.05,0.7
30/06/2021,2211280,46010,NSW,NA,NA,NA
29/06/2021,2165270,38095,NSW,NA,NA,NA
28/06/2021,2127175,12652,NSW,NA,NA,NA
27/06/2021,2114523,20248,NSW,NA,NA,NA
26/06/2021,2094275,35880,NSW,NA,NA,NA
25/06/2021,2058395,43006,NSW,NA,NA,NA
24/06/2021,2015389,39727,NSW,NA,NA,NA
23/06/2021,1975662,39289,NSW,NA,NA,NA
22/06/2021,1936373,37235,NSW,NA,NA,NA
21/06/2021,1899138,2349,NSW,NA,NA,NA
20/06/2021,1896789,17277,NSW,NA,NA,NA
19/06/2021,1879512,37496,NSW,NA,NA,NA
18/06/2021,1842016,41791,NSW,NA,NA,NA
17/06/2021,1800225,39457,NSW,NA,NA,NA
16/06/2021,1760768,40434,NSW,NA,NA,NA
15/06/2021,1720334,14023,NSW,NA,NA,NA
14/06/2021,1706311,1205,NSW,NA,NA,NA
13/06/2021,1705106,12998,NSW,NA,NA,NA
12/06/2021,1692108,36329,NSW,NA,NA,NA
11/06/2021,1655779,41304,NSW,NA,NA,NA
10/06/2021,1614475,37917,NSW,NA,NA,NA
9/06/2021,1576558,39484,NSW,NA,NA,NA
8/06/2021,1537074,36276,NSW,NA,NA,NA
7/06/2021,1500798,2735,NSW,NA,NA,NA
6/06/2021,1498063,16772,NSW,NA,NA,NA
5/06/2021,1481291,35974,NSW,NA,NA,NA
4/06/2021,1445317,41722,NSW,NA,NA,NA
3/06/2021,1403595,40378,NSW,NA,NA,NA
2/06/2021,1363217,37779,NSW,NA,NA,NA
1/06/2021,1325438,35474,NSW,NA,NA,NA
31/05/2021,1289964,1989,NSW,NA,NA,NA
30/05/2021,1287975,15968,NSW,NA,NA,NA
29/05/2021,1272007,35752,NSW,NA,NA,NA
28/05/2021,1236255,37570,NSW,NA,NA,NA
27/05/2021,1198685,35917,NSW,NA,NA,NA
26/05/2021,1162768,33966,NSW,NA,NA,NA
25/05/2021,1128802,29512,NSW,NA,NA,NA
24/05/2021,1099290,1775,NSW,NA,NA,NA
23/05/2021,1097515,13088,NSW,NA,NA,NA
22/05/2021,1084427,31894,NSW,NA,NA,NA
21/05/2021,1052533,34055,NSW,NA,NA,NA
20/05/2021,1018478,31772,NSW,NA,NA,NA
19/05/2021,986706,30898,NSW,NA,NA,NA
18/05/2021,955808,28344,NSW,NA,NA,NA
17/05/2021,927464,1222,NSW,NA,NA,NA
16/05/2021,926242,12610,NSW,NA,NA,NA
15/05/2021,913632,26480,NSW,NA,NA,NA
14/05/2021,887152,27906,NSW,NA,NA,NA
13/05/2021,859246,26151,NSW,NA,NA,NA
12/05/2021,833095,24844,NSW,NA,NA,NA
11/05/2021,808251,20977,NSW,NA,NA,NA
10/05/2021,787274,1120,NSW,NA,NA,NA
9/05/2021,786154,7342,NSW,NA,NA,NA
8/05/2021,778812,21588,NSW,NA,NA,NA
7/05/2021,757224,22071,NSW,NA,NA,NA
6/05/2021,735153,21883,NSW,NA,NA,NA
5/05/2021,713270,22134,NSW,NA,NA,NA
4/05/2021,691136,17858,NSW,NA,NA,NA
3/05/2021,673278,916,NSW,NA,NA,NA
2/05/2021,672362,5119,NSW,NA,NA,NA
1/05/2021,667243,17345,NSW,NA,NA,NA
30/04/2021,649898,19680,NSW,NA,NA,NA
29/04/2021,630218,25408,NSW,NA,NA,NA
28/04/2021,604810,16760,NSW,NA,NA,NA
27/04/2021,588050,13633,NSW,NA,NA,NA
26/04/2021,574417,525,NSW,NA,NA,NA
25/04/2021,573892,5711,NSW,NA,NA,NA
24/04/2021,568181,17839,NSW,NA,NA,NA
23/04/2021,550342,19811,NSW,NA,NA,NA
22/04/2021,530531,21032,NSW,NA,NA,NA
21/04/2021,509499,20742,NSW,NA,NA,NA
20/04/2021,488757,19933,NSW,NA,NA,NA
19/04/2021,468824,21585,NSW,NA,NA,NA
18/04/2021,447239,6843,NSW,NA,NA,NA
17/04/2021,440396,17916,NSW,NA,NA,NA
16/04/2021,422480,19342,NSW,NA,NA,NA
15/04/2021,403138,20451,NSW,NA,NA,NA
14/04/2021,382687,20781,NSW,NA,NA,NA
13/04/2021,361906,17588,NSW,NA,NA,NA
12/04/2021,344318,2003,NSW,NA,NA,NA
11/04/2021,342315,7045,NSW,NA,NA,NA
10/04/2021,335270,19083,NSW,NA,NA,NA
9/04/2021,316187,175636,NSW,NA,NA,NA
8/04/2021,140551,6228,NSW,NA,NA,NA
7/04/2021,134323,6984,NSW,NA,NA,NA
6/04/2021,127339,813,NSW,NA,NA,NA
5/04/2021,126526,32,NSW,NA,NA,NA
4/04/2021,126494,1299,NSW,NA,NA,NA
3/04/2021,125195,839,NSW,NA,NA,NA
2/04/2021,124356,6956,NSW,NA,NA,NA
1/04/2021,117400,17400,NSW,NA,NA,NA
31/03/2021,1.00E+05,0,NSW,NA,NA,NA
30/03/2021,1.00E+05,3727,NSW,NA,NA,NA
29/03/2021,96273,0,NSW,NA,NA,NA
28/03/2021,96273,0,NSW,NA,NA,NA
27/03/2021,96273,7077,NSW,NA,NA,NA
26/03/2021,89196,16253,NSW,NA,NA,NA
25/03/2021,72943,0,NSW,NA,NA,NA
24/03/2021,72943,0,NSW,NA,NA,NA
23/03/2021,72943,8059,NSW,NA,NA,NA
22/03/2021,64884,13277,NSW,NA,NA,NA
21/03/2021,51607,0,NSW,NA,NA,NA
20/03/2021,51607,0,NSW,NA,NA,NA
19/03/2021,51607,0,NSW,NA,NA,NA
18/03/2021,51607,4787,NSW,NA,NA,NA
17/03/2021,46820,5376,NSW,NA,NA,NA
16/03/2021,41444,3891,NSW,NA,NA,NA
15/03/2021,37553,733,NSW,NA,NA,NA
14/03/2021,36820,0,NSW,NA,NA,NA
13/03/2021,36820,5507,NSW,NA,NA,NA
12/03/2021,31313,0,NSW,NA,NA,NA
11/03/2021,31313,4313,NSW,NA,NA,NA
10/03/2021,27000,3077,NSW,NA,NA,NA
9/03/2021,23923,2160,NSW,NA,NA,NA
8/03/2021,21763,1869,NSW,NA,NA,NA
7/03/2021,19894,0,NSW,NA,NA,NA
6/03/2021,19894,0,NSW,NA,NA,NA
5/03/2021,19894,3089,NSW,NA,NA,NA
4/03/2021,16805,2205,NSW,NA,NA,NA
3/03/2021,14600,2176,NSW,NA,NA,NA
2/03/2021,12424,2085,NSW,NA,NA,NA
1/03/2021,10339,2839,NSW,NA,NA,NA
